Word,Difficulty,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 plus
manly,18,0,2,17,37,29,12,2
molar,21,0,4,21,38,26,9,1
havoc,33,0,2,16,38,30,12,2
impel,31,0,3,21,40,25,9,1
condo,32,0,2,17,35,29,14,3
judge,28,0,2,8,16,26,33,14
extra,37,1,5,20,35,28,10,1
poise,19,2,11,34,32,15,6,1
aorta,33,0,7,26,35,20,10,3
excel,42,0,1,13,34,34,15,2
lunar,26,0,5,32,40,17,4,0
third,26,1,10,47,32,9,2,0
slate,15,6,14,33,27,13,5,1
taper,19,0,8,28,30,20,11,3
chord,25,0,7,39,38,13,3,0
globe,26,0,6,24,32,24,11,3
rival,29,0,7,27,35,22,8,1
usual,48,0,3,20,39,27,10,1
spoke,23,0,6,31,38,19,5,0
apply,42,0,5,28,38,22,7,1
naive,23,1,7,24,32,24,11,1
knock,50,0,3,18,43,27,8,1
braid,22,0,10,36,35,14,3,0
infer,29,0,3,19,33,26,14,3
joust,26,0,6,29,34,21,8,2
amber,27,0,6,22,33,24,12,3
woken,24,0,2,10,25,36,23,4
adore,26,2,17,32,29,15,5,1
torso,32,0,4,35,36,17,6,1
chafe,23,0,6,30,33,19,9,2
eject,53,0,2,11,35,36,14,2
study,24,0,6,30,33,19,10,2
undue,46,0,3,19,35,29,13,2
tepid,26,0,10,38,35,13,3,0
happy,38,0,6,28,39,19,6,1
clean,26,1,17,36,31,12,3,0
itchy,33,0,8,28,40,18,5,1
feast,21,5,13,25,27,19,10,2
drive,23,1,12,32,30,18,6,1
prime,22,1,10,26,32,21,9,1
axiom,34,0,5,19,33,27,13,3
brave,20,1,6,17,27,27,18,5
avert,32,0,7,26,35,22,9,1
glyph,34,0,2,23,49,20,5,1
there,31,0,14,35,33,14,4,0
baker,19,0,5,16,23,24,22,10
snarl,23,0,5,21,31,24,15,4
maple,20,1,6,26,36,21,8,1
inane,36,0,8,25,30,21,13,3
valet,20,0,4,22,38,25,9,1
medal,26,0,5,25,38,23,8,1
unite,25,1,11,31,33,18,5,1
rainy,19,1,16,38,31,11,3,1
spell,39,0,4,24,37,24,9,1
begin,28,0,6,26,36,23,7,1
stale,19,2,19,30,27,15,6,2
dream,27,5,14,31,29,15,4,1
photo,38,0,5,34,43,15,3,0
aloud,26,1,18,31,30,15,4,1
inept,32,0,6,30,39,20,6,1
piney,15,0,1,14,37,33,14,2
aptly,27,0,3,26,41,23,7,1
waltz,29,0,2,11,29,35,19,3
libel,39,0,3,15,32,32,16,2
sneak,27,0,7,28,36,21,7,1
carry,25,0,4,22,35,24,12,3
flout,26,0,6,28,37,21,7,1
foggy,38,0,2,13,35,32,15,3
fault,21,0,7,27,35,22,8,1
mummy,44,0,1,4,14,27,37,18
spiel,22,0,7,32,36,19,6,1
grove,25,0,4,18,30,28,17,3
denim,27,0,5,29,40,20,5,0
quirk,31,0,3,23,39,24,9,2
exist,34,0,5,24,38,23,8,1
stein,29,1,12,34,32,16,5,1
spade,21,1,8,29,36,19,6,1
catch,37,0,7,18,20,15,16,23
floor,37,0,3,23,44,24,6,0
equal,37,0,5,23,35,25,11,2
ionic,46,0,2,13,25,28,21,11
valid,26,0,4,28,38,21,8,1
enjoy,36,0,3,12,29,33,20,3
howdy,25,0,2,13,32,32,17,4
vigor,30,0,2,15,35,31,14,2
dandy,32,0,2,11,23,29,24,11
sloth,22,1,10,38,34,13,3,0
marxh,32,0,9,30,35,19,6,1
bough,24,0,3,17,35,28,13,3
sting,27,1,10,30,33,18,8,2
twine,24,0,6,28,40,20,5,1
leave,25,0,4,16,34,31,12,1
scorn,26,0,8,31,35,20,6,1
scald,22,0,4,23,36,24,11,2
usurp,49,0,3,21,38,26,9,1
soggy,35,0,2,18,38,28,11,2
brisk,27,0,5,23,38,24,7,1
admit,34,0,10,25,34,22,8,1
grate,19,1,14,29,28,16,8,3
glory,23,0,6,30,39,19,5,0
saint,17,1,14,35,29,15,5,1
recap,29,0,5,30,35,21,8,1
alike,23,0,6,20,33,27,12,2
trice,22,0,5,24,25,18,17,11
stick,29,1,9,36,35,14,4,0
chute,22,0,11,37,36,12,3,0
parer,25,0,0,4,11,15,22,48
doubt,24,1,12,32,34,16,4,0
thyme,29,1,5,24,41,23,5,0
alpha,44,0,3,19,40,28,9,1
booze,26,0,1,7,27,38,23,4
tibia,38,0,1,14,40,30,12,2
lofty,22,0,4,19,34,27,13,3
theme,33,0,8,29,40,18,4,0
class,27,0,4,21,32,22,13,7
leery,28,0,3,17,37,28,12,2
taunt,31,0,4,19,27,21,16,13
whoop,44,0,1,16,47,29,7,1
inter,28,0,6,25,36,23,8,1
gully,33,0,1,9,27,31,25,7
charm,26,1,12,32,34,16,5,1
fungi,31,0,2,18,41,28,9,1
prize,25,0,5,12,20,32,26,5
onset,28,0,4,29,40,21,6,1
chief,26,1,6,32,38,18,5,0
gauze,25,0,2,11,24,31,25,8
ruder,36,0,2,16,33,29,16,4
irony,23,0,6,29,34,21,8,1
clown,28,1,8,29,36,20,6,1
needy,31,0,2,21,41,26,9,1
woven,24,0,2,13,32,32,17,3
merit,23,0,7,33,37,17,5,0
waste,21,1,7,19,27,24,17,5
treat,34,1,22,32,26,14,5,1
shrug,28,0,4,23,36,26,10,1
twang,28,0,3,22,43,25,7,1
twice,26,1,6,28,38,21,6,1
gruel,24,0,3,19,39,29,9,1
poker,20,0,4,17,30,27,17,5
khaki,49,0,2,17,33,28,16,4
hunky,25,0,1,11,33,25,22,7
label,38,0,4,18,32,29,15,2
glean,29,0,6,23,37,24,8,1
cling,26,0,4,20,34,27,13,2
patty,30,0,2,16,39,29,12,1
unfit,35,0,3,24,38,25,9,1
smear,25,0,2,16,39,29,12,2
alien,22,3,17,31,29,15,4,0
buggy,40,0,1,9,29,34,22,5
rhyme,31,0,4,22,39,25,8,1
youth,27,1,5,17,31,29,15,3
coyly,30,0,0,4,17,28,35,15
quart,26,0,5,20,33,27,13,2
cramp,25,1,8,26,33,19,10,2
bluff,50,0,2,14,42,31,10,1
upset,29,0,5,30,38,20,6,1
stomp,29,0,7,26,32,21,11,2
motto,43,0,1,11,36,36,14,1
cinch,36,0,2,15,24,22,25,13
elope,36,0,4,22,32,26,13,2
power,20,2,6,19,29,24,15,4
midge,23,0,2,18,39,28,10,2
tryst,39,0,3,26,41,23,6,1
aphid,35,0,6,24,36,23,9,2
trite,28,0,4,14,22,22,23,15
angry,27,0,5,27,38,21,7,1
flock,29,0,4,22,37,27,9,1
wacky,24,0,3,18,39,27,10,2
roomy,26,0,2,17,41,28,10,2
wedge,29,0,2,11,32,37,17,2
liver,23,0,4,16,26,25,20,8
bland,21,0,7,31,38,18,4,0
night,31,1,8,27,27,17,13,7
madam,45,0,3,13,35,34,14,2
berth,21,0,7,24,35,24,9,1
stead,25,1,6,20,27,28,16,3
voice,22,1,5,24,35,25,9,1
agape,35,0,2,18,36,27,15,3
fluff,56,0,0,4,25,44,23,4
field,22,1,6,25,36,23,9,1
sever,21,0,2,13,27,29,21,7
lilac,41,0,2,17,38,29,12,1
egret,39,0,3,14,33,33,15,2
pinto,23,0,5,25,41,22,6,1
hutch,46,0,1,12,28,28,21,9
gawky,25,0,1,5,22,33,28,10
droll,37,0,2,16,31,31,17,3
retro,40,0,6,24,35,24,9,1
rusty,24,0,9,37,34,13,5,1
beady,17,0,3,19,39,29,10,1
smite,20,0,6,23,35,24,11,2
brink,25,0,4,22,41,24,7,1
awful,35,0,5,21,33,27,12,2
gloat,26,0,8,21,31,26,12,2
input,34,0,5,30,38,21,6,1
loser,21,1,10,28,32,19,8,2
cacao,41,0,1,9,27,36,23,4
blown,28,0,6,23,35,26,10,1
apron,31,0,7,30,38,19,5,1
primo,27,0,3,22,38,25,10,2
atone,24,2,16,34,29,14,4,1
donor,31,0,3,27,38,23,7,1
float,24,1,12,30,32,18,6,1
goose,26,0,2,12,28,32,21,5
piety,18,0,4,25,41,22,7,1
girth,24,0,6,23,33,23,12,3
